temps = 1.00	sensor = 193	 temperature = 0.00	 relai = 1
temps = 1.50	sensor = 193	 temperature = 0.00	 relai = 1
temps = 2.00	sensor = 193	 temperature = 0.00	 relai = 1
temps = 2.50	sensor = 193	 temperature = 0.00	 relai = 1
temps = 3.00	sensor = 193	 temperature = 0.00	 relai = 1
temps = 3.50	sensor = 193	 temperature = 0.00	 relai = 1
temps = 4.00	sensor = 193	 temperature = 0.00	 relai = 1
temps = 4.50	sensor = 193	 temperature = 0.00	 relai = 1
temps = 5.00	sensor = 193	 temperature = 0.00	 relai = 1
temps = 5.50	sensor = 193	 temperature = 0.00	 relai = 1
temps = 6.00	sensor = 193	 temperature = 0.00	 relai = 1
temps = 6.50	sensor = 193	 temperature = 0.00	 relai = 1
temps = 7.00	sensor = 194	 temperature = 0.00	 relai = 1
temps = 7.50	sensor = 193	 temperature = 0.00	 relai = 1
temps = 8.00	sensor = 193	 temperature = 0.00	 relai = 1
temps = 8.50	sensor = 194	 temperature = 0.00	 relai = 1
temps = 9.00	sensor = 193	 temperature = 0.00	 relai = 1
temps = 9.50	sensor = 193	 temperature = 0.00	 relai = 1
temps = 10.00	sensor = 193	 temperature = 0.00	 relai = 1
temps = 10.50	sensor = 194	 temperature = 0.00	 relai = 1
temps = 11.00	sensor = 193	 temperature = 0.00	 relai = 1
temps = 11.50	sensor = 194	 temperature = 0.00	 relai = 1
temps = 12.00	sensor = 193	 temperature = 0.00	 relai = 1
temps = 12.50	sensor = 193	 temperature = 0.00	 relai = 1
temps = 13.00	sensor = 193	 temperature = 0.00	 relai = 1
temps = 13.50	sensor = 193	 temperature = 0.00	 relai = 1
temps = 14.00	sensor = 193	 temperature = 0.00	 relai = 1
temps = 14.50	sensor = 193	 temperature = 0.00	 relai = 1
temps = 15.00	sensor = 193	 temperature = 0.00	 relai = 1
temps = 15.50	sensor = 193	 temperature = 0.00	 relai = 1
temps = 16.00	sensor = 193	 temperature = 0.00	 relai = 1
temps = 16.50	sensor = 193	 temperature = 0.00	 relai = 1
temps = 17.00	sensor = 193	 temperature = 0.00	 relai = 1
temps = 17.50	sensor = 193	 temperature = 0.00	 relai = 1
temps = 18.00	sensor = 193	 temperature = 0.00	 relai = 1
temps = 18.50	sensor = 193	 temperature = 0.00	 relai = 1
temps = 19.00	sensor = 193	 temperature = 0.00	 relai = 1
temps = 19.50	sensor = 193	 temperature = 0.00	 relai = 1
temps = 20.00	sensor = 193	 temperature = 0.00	 relai = 1
temps = 20.50	sensor = 193	 temperature = 0.00	 relai = 1
temps = 21.00	sensor = 193	 temperature = 0.00	 relai = 1
temps = 21.50	sensor = 193	 temperature = 0.00	 relai = 1
temps = 22.00	sensor = 193	 temperature = 0.00	 relai = 1
temps = 22.50	sensor = 193	 temperature = 0.00	 relai = 1
temps = 23.00	sensor = 193	 temperature = 0.00	 relai = 1
temps = 23.50	sensor = 193	 temperature = 0.00	 relai = 1
temps = 24.00	sensor = 193	 temperature = 0.00	 relai = 1
temps = 24.50	sensor = 193	 temperature = 0.00	 relai = 1
temps = 25.00	sensor = 193	 temperature = 0.00	 relai = 1
temps = 25.50	sensor = 193	 temperature = 0.00	 relai = 1
temps = 26.00	sensor = 193	 temperature = 0.00	 relai = 1
temps = 26.50	sensor = 193	 temperature = 0.00	 relai = 1
temps = 27.00	sensor = 193	 temperature = 0.00	 relai = 1
temps = 27.50	sensor = 193	 temperature = 0.00	 relai = 1
temps = 28.00	sensor = 193	 temperature = 0.00	 relai = 1
temps = 28.50	sensor = 193	 temperature = 0.00	 relai = 1
temps = 29.00	sensor = 193	 temperature = 0.00	 relai = 1
temps = 29.50	sensor = 193	 temperature = 0.00	 relai = 1
temps = 30.00	sensor = 193	 temperature = 0.00	 relai = 1
temps = 30.50	sensor = 193	 temperature = 0.00	 relai = 1
temps = 31.00	sensor = 193	 temperature = 0.00	 relai = 1
temps = 31.50	sensor = 193	 temperature = 0.00	 relai = 1
temps = 32.00	sensor = 193	 temperature = 0.00	 relai = 1
temps = 32.50	sensor = 193	 temperature = 0.00	 relai = 1
temps = 33.00	sensor = 193	 temperature = 0.00	 relai = 1
temps = 33.50	sensor = 193	 temperature = 0.00	 relai = 1
temps = 34.00	sensor = 193	 temperature = 0.00	 relai = 1
temps = 34.50	sensor = 193	 temperature = 0.00	 relai = 1
temps = 35.00	sensor = 193	 temperature = 0.00	 relai = 1
temps = 35.50	sensor = 193	 temperature = 0.00	 relai = 1
temps = 36.00	sensor = 193	 temperature = 0.00	 relai = 1
temps = 36.50	sensor = 193	 temperature = 0.00	 relai = 1
temps = 37.00	sensor = 193	 temperature = 0.00	 relai = 1
temps = 37.50	sensor = 193	 temperature = 0.00	 relai = 1
temps = 38.00	sensor = 192	 temperature = 0.00	 relai = 1
temps = 38.50	sensor = 192	 temperature = 0.00	 relai = 1
temps = 39.00	sensor = 192	 temperature = 0.00	 relai = 1
temps = 39.50	sensor = 192	 temperature = 0.00	 relai = 1
temps = 40.00	sensor = 192	 temperature = 0.00	 relai = 1
temps = 40.50	sensor = 192	 temperature = 0.00	 relai = 1
temps = 41.00	sensor = 192	 temperature = 0.00	 relai = 1
temps = 41.50	sensor = 192	 temperature = 0.00	 relai = 1
temps = 42.00	sensor = 192	 temperature = 0.00	 relai = 1
temps = 42.50	sensor = 192	 temperature = 0.00	 relai = 1
temps = 43.00	sensor = 192	 temperature = 0.00	 relai = 1
temps = 43.50	sensor = 192	 temperature = 0.00	 relai = 1
temps = 44.00	sensor = 192	 temperature = 0.00	 relai = 1
temps = 44.50	sensor = 192	 temperature = 0.00	 relai = 1
temps = 45.00	sensor = 192	 temperature = 0.00	 relai = 1
temps = 45.50	sensor = 192	 temperature = 0.00	 relai = 1
temps = 46.00	sensor = 192	 temperature = 0.00	 relai = 1
temps = 46.50	sensor = 192	 temperature = 0.00	 relai = 1
temps = 47.00	sensor = 192	 temperature = 0.00	 relai = 1
temps = 47.50	sensor = 192	 temperature = 0.00	 relai = 1
temps = 48.00	sensor = 192	 temperature = 0.00	 relai = 1
temps = 48.50	sensor = 192	 temperature = 0.00	 relai = 1
temps = 49.00	sensor = 192	 temperature = 0.00	 relai = 1
temps = 49.50	sensor = 192	 temperature = 0.00	 relai = 1
temps = 50.00	sensor = 192	 temperature = 0.00	 relai = 1
temps = 50.50	sensor = 192	 temperature = 0.00	 relai = 1
temps = 51.00	sensor = 192	 temperature = 0.00	 relai = 1
temps = 51.50	sensor = 192	 temperature = 0.00	 relai = 1
temps = 52.00	sensor = 192	 temperature = 0.00	 relai = 1
temps = 52.50	sensor = 191	 temperature = 0.00	 relai = 1
temps = 53.00	sensor = 191	 temperature = 0.00	 relai = 1
temps = 53.50	sensor = 191	 temperature = 0.00	 relai = 1
temps = 54.00	sensor = 191	 temperature = 0.00	 relai = 1
temps = 54.50	sensor = 191	 temperature = 0.00	 relai = 1
temps = 55.00	sensor = 191	 temperature = 0.00	 relai = 1
