temps = 274.50	sensor = 188	 temperature = 52.28	 relai = 1
temps = 275.00	sensor = 188	 temperature = 52.28	 relai = 1
temps = 275.50	sensor = 189	 temperature = 53.68	 relai = 1
temps = 276.00	sensor = 189	 temperature = 53.68	 relai = 1
temps = 276.50	sensor = 189	 temperature = 53.68	 relai = 1
temps = 277.00	sensor = 189	 temperature = 53.68	 relai = 1
temps = 277.50	sensor = 190	 temperature = 55.07	 relai = 1
temps = 278.00	sensor = 190	 temperature = 55.07	 relai = 1
temps = 278.50	sensor = 190	 temperature = 55.07	 relai = 1
temps = 279.00	sensor = 190	 temperature = 55.07	 relai = 1
temps = 279.50	sensor = 191	 temperature = 56.47	 relai = 1
temps = 280.00	sensor = 191	 temperature = 56.47	 relai = 1
temps = 280.50	sensor = 191	 temperature = 56.47	 relai = 1
temps = 281.00	sensor = 192	 temperature = 57.86	 relai = 1
temps = 281.50	sensor = 192	 temperature = 57.86	 relai = 1
temps = 282.00	sensor = 193	 temperature = 59.26	 relai = 1
temps = 282.50	sensor = 193	 temperature = 59.26	 relai = 1
temps = 283.00	sensor = 193	 temperature = 59.26	 relai = 1
temps = 283.50	sensor = 194	 temperature = 60.65	 relai = 1
temps = 284.00	sensor = 194	 temperature = 60.65	 relai = 1
temps = 284.50	sensor = 194	 temperature = 60.65	 relai = 1
temps = 285.00	sensor = 195	 temperature = 62.05	 relai = 1
temps = 285.50	sensor = 195	 temperature = 62.05	 relai = 1
temps = 286.00	sensor = 195	 temperature = 62.05	 relai = 1
temps = 286.50	sensor = 196	 temperature = 63.44	 relai = 1
temps = 287.00	sensor = 196	 temperature = 63.44	 relai = 1
temps = 287.50	sensor = 196	 temperature = 63.44	 relai = 1
temps = 288.00	sensor = 196	 temperature = 63.44	 relai = 1
temps = 288.50	sensor = 197	 temperature = 64.84	 relai = 1
temps = 289.00	sensor = 197	 temperature = 64.84	 relai = 1
temps = 289.50	sensor = 198	 temperature = 66.23	 relai = 1
temps = 290.00	sensor = 198	 temperature = 66.23	 relai = 1
temps = 290.50	sensor = 198	 temperature = 66.23	 relai = 1
temps = 291.00	sensor = 199	 temperature = 67.63	 relai = 1
temps = 291.50	sensor = 199	 temperature = 67.63	 relai = 1
temps = 292.00	sensor = 199	 temperature = 67.63	 relai = 1
temps = 292.50	sensor = 200	 temperature = 69.02	 relai = 1
temps = 293.00	sensor = 200	 temperature = 69.02	 relai = 1
temps = 293.50	sensor = 200	 temperature = 69.02	 relai = 1
temps = 294.00	sensor = 200	 temperature = 69.02	 relai = 1
temps = 294.50	sensor = 201	 temperature = 70.42	 relai = 1
temps = 295.00	sensor = 201	 temperature = 70.42	 relai = 1
temps = 295.50	sensor = 201	 temperature = 70.42	 relai = 1
temps = 296.00	sensor = 202	 temperature = 71.81	 relai = 1
temps = 296.50	sensor = 202	 temperature = 71.81	 relai = 1
temps = 297.00	sensor = 203	 temperature = 73.21	 relai = 1
temps = 297.50	sensor = 204	 temperature = 74.60	 relai = 1
temps = 298.00	sensor = 203	 temperature = 73.21	 relai = 1
temps = 298.50	sensor = 204	 temperature = 74.60	 relai = 1
temps = 299.00	sensor = 204	 temperature = 74.60	 relai = 1
temps = 299.50	sensor = 204	 temperature = 74.60	 relai = 1
temps = 300.00	sensor = 204	 temperature = 74.60	 relai = 1
temps = 300.50	sensor = 205	 temperature = 76.00	 relai = 1
temps = 301.00	sensor = 205	 temperature = 76.00	 relai = 1
temps = 301.50	sensor = 205	 temperature = 76.00	 relai = 1
temps = 302.00	sensor = 206	 temperature = 77.39	 relai = 1
temps = 302.50	sensor = 206	 temperature = 77.39	 relai = 1
temps = 303.00	sensor = 206	 temperature = 77.39	 relai = 1
temps = 303.50	sensor = 207	 temperature = 78.79	 relai = 1
temps = 304.00	sensor = 207	 temperature = 78.79	 relai = 1
temps = 304.50	sensor = 207	 temperature = 78.79	 relai = 1
temps = 305.00	sensor = 208	 temperature = 80.18	 relai = 1
temps = 305.50	sensor = 208	 temperature = 80.18	 relai = 1
temps = 306.00	sensor = 208	 temperature = 80.18	 relai = 1
temps = 306.50	sensor = 209	 temperature = 81.57	 relai = 1
temps = 307.00	sensor = 209	 temperature = 81.57	 relai = 1
